curr_state	curr_action	next_reward	next_state
1090	-1	0	1097
1097	1	0	1234
1234	-1	0	1241
1241	1	0	1378
1378	-1	0	1385
1385	1	0	1522
1522	-1	0	1529
1529	0	0	1657
1657	1	0	1786
1786	-1	0	1785
1785	1	0	1914
1914	1	0	1915
1915	0	0	1787
1787	-1	0	1658
1658	0	0	1658
1658	1	0	1659
1659	1	0	1532
1532	-1	0	1403
1403	1	0	1276
1276	-1	0	1147
1147	-1	0	1018
1018	0	0	1018
1018	0	0	1018
1018	1	0	1019
1019	0	0	891
891	-1	0	762
762	0	0	762
762	0	0	762
762	1	0	763
763	1	0	636
636	1	0	509
509	0	0	373
